"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
"02232387","Exdol-8 Tablets","PEN","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid- long term pain relief (high overodse risk)","",0.15
"02232388","Exdol-15 Tablets","PEN","tab","15mg & 300mg & 30mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid- long term pain relief (high overodse risk)","",0.15
"02232389","Exdol-30 Tablets","PEN","tab","30mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid- long term pain relief (high overodse risk)","",0.15
"02232658","Procet-30","PRD","tab","30mg","2012-04-16","","acetaminophen + codeine phosphate","opioid- antitussive, antipyretic and analgesic. moderate to severe pain","",0.15
"02233960","Sandoz Clonazepam","SDZ","tab","0.5mg","2012-04-16","","clonazepam","bzd","",10
"02233982","Sandoz Clonazepam","SDZ","tab","1mg","2012-04-16","","clonazepam","bzd","",10
"02233985","Sandoz Clonazepam","SDZ","tab","2mg","2012-04-16","","clonazepam","bzd","",10
"02234003","Sandoz Nitrazepam","SDZ","tab","5mg","2012-04-16","","nitrazepam","bzd","",1
"02234007","Sandoz Nitrazepam","SDZ","tab","10mg","2012-04-16","","nitrazepam","bzd","",1
"02234510","282","PEN","tab","15mg","2012-11-29","","codeine phosphate+acetylslicylic acid","opioid[- analgesic and sedative. perscribed when pain accompanied by muscle spasm/anxiety","",0.15
"02234749","PMS-Methylphenidate","PMS","tab","5mg","2012-04-16","","methylphenidate","stimulant","",NA
"02236872","Methoxacet-C 1/8","ROG","tab","8mg","2012-04-16","2018-11-12","acetaminophen+codeine phosphate+methocarbamol","opioid-cancelled post-market ","",0.15
"02236948","Phl-Clonazepam-R","PHE","tab","0.5mg","2012-04-16","","clonazepam","bzd","",10
