"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
2470306,"Foquest","PFP","CR Cap","35mg","2018-01-26","","Methylphenidate hydrochloride","Stimulant- adhd medication","",NA
2470314,"Foquest","PFP","CR Cap","45mg","2018-01-26","","Methylphenidate hydrochloride","Stimulant- adhd medication","",NA
2470322,"Foquest","PFP","CR Cap","55mg","2018-01-26","","Methylphenidate hydrochloride","Stimulant- adhd medication","",NA
2470330,"Foquest","PFP","CR Cap","70mg","2018-01-26","","Methylphenidate hydrochloride","Stimulant- adhd medication","",NA
2470349,"Foquest","PFP","CR Cap","85mg","2018-01-26","","Methylphenidate hydrochloride","Stimulant- adhd medication","",NA
2470357,"Foquest","PFP","CR Cap","100mg","2018-01-26","","Methylphenidate hydrochloride","Stimulant- adhd medication","",NA
2476614,"Apo-HYDROmorphone CR","APX","CR Cap","3mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476622,"Apo-HYDROmorphone CR","APX","CR Cap","4.5mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476630,"Apo-HYDROmorphone CR","APX","CR Cap","6mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476649,"Apo-HYDROmorphone CR","APX","CR Cap","9mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476657,"Apo-HYDROmorphone CR","APX","CR Cap","12mg","2018-12-21","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476665,"Apo-HYDROmorphone CR","APX","CR Cap","18mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476673,"Apo-HYDROmorphone CR","APX","CR Cap","24mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2476681,"Apo-HYDROmorphone CR","APX","CR Cap","30mg","2018-11-29","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2478889,"Sandoz Morphine SR","SDZ","SR Tab","100mg","2019-02-28","","Morphine sulfate","Opioid- long term pain relief for moderate to severe pain","",NA
2478897,"Sandoz Morphine SR","SDZ","SR Tab","200mg","2019-02-28","","Morphine sulfate","Opioid- long term pain relief for moderate to severe pain","",NA
2479672,"Auro-Tramadol","AUR","Tab","50mg","2019-06-28","","Tramadol hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2480859,"Mar-Tramadol","MAR","Tab","50mg","2019-09-30","","Tramadol hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2483084,"Sublocade","IND","ER Inj Sol-Pref Syr","100mg/0.5mL","2019-04-26","","Buprenorphine","Opioid- Mainly used for opioid use disorder","",NA
2483092,"Sublocade","IND","ER Inj Sol-Pref Syr","300mg/1.5mL","2019-04-26","","Buprenorphine","Opioid- Mainly used for opioid use disorder","",NA
2490226,"Vyvanse","SHI","Tab (Chewable)","10mg","2019-09-13","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2490234,"Vyvanse","SHI","Tab (Chewable)","20mg","2019-09-13","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2490242,"Vyvanse","SHI","Tab (Chewable)","30mg","2019-09-13","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2490250,"Vyvanse","SHI","Tab (Chewable)","40mg","2019-09-13","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2490269,"Vyvanse","SHI","Tab (Chewable)","50mg","2019-09-13","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2490277,"Vyvanse","SHI","Tab (Chewable)","60mg","2019-09-13","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2493764,"Sandoz Tramadol","SDZ","Tab","50mg","2021-02-12","","Tramadol hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2495783,"Jamp Methadone Oral Concentrate","JPC","Oral Concentrate (Unflavoured)","10mg/mL","2022-08-31","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2495872,"Odan-Methadone","ODN","Oral Concentrate (Cherry Flavour)","10mg/mL","2020-08-14","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2495880,"Odan-Methadone","ODN","Oral Concentrate (Unflavoured)","10mg/mL","2020-08-14","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2502313,"Suboxone","IND","Soluble Film","2mg & 0.5mg","2021-07-16","","Buprenorphine + Naloxone","Opioid- Mainly used for opioid use disorder","",NA
2502321,"Suboxone","IND","Soluble Film","4mg & 1mg","2021-07-16","","Buprenorphine + Naloxone","Opioid- Mainly used for opioid use disorder","",NA
2502348,"Suboxone","IND","Soluble Film","8mg & 2mg","2021-07-16","","Buprenorphine + Naloxone","Opioid- Mainly used for opioid use disorder","",NA
2502356,"Suboxone","IND","Soluble Film","12mg & 3mg","2021-05-31","","Buprenorphine + Naloxone","Opioid- Mainly used for opioid use disorder","",NA
2507005,"Jamp Tramadol","JPC","Tab","50mg","2021-05-31","","Tramadol hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2514435,"Hydromorphone Hydrochloride Injection USP","SDZ","Inj Sol","1mg/mL","2022-12-02","","","","",NA
2518759,"Jamp Tramadol HCl","JPC","Tab","50mg","2023-03-31","","Tramadol hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
2519070,"Diastat","BHC","Rect Gel","10mg/2mL","2024-06-07","","Diazepam","BZD- management of selected, refractory, patients with epilepsy, stable regimens of AED","To be administered by caregivers",NA
2533340,"Taro-Lisdexamfetamine Chewable Tablets","TAR","Chew Tab","10mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2533359,"Taro-Lisdexamfetamine Chewable Tablets","TAR","Chew Tab","20mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2533367,"Taro-Lisdexamfetamine Chewable Tablets","TAR","Chew Tab","30mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2533375,"Taro-Lisdexamfetamine Chewable Tablets","TAR","Chew Tab","40mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2533383,"Taro-Lisdexamfetamine Chewable Tablets","TAR","Chew Tab","50mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
