"","package","dependencies"
"17","tidymodels","backports, broom, cachem, class, cli, clock, codetools, conflicted, cpp11, data.table, diagram, dials, DiceDesign, digest, dplyr, farver, fastmap, furrr, future, future.apply, generics, ggplot2, globals, glue, gower, GPfit, graphics, grDevices, grid, gtable, hardhat, infer, ipred, isoband, KernSmooth, labeling, lattice, lava, lhs, lifecycle, listenv, lubridate, magrittr, MASS, Matrix, memoise, methods, mgcv, modeldata, modelenv, nlme, nnet, numDeriv, parallel, parallelly, parsnip, patchwork, pillar, pkgconfig, prettyunits, prodlim, progressr, purrr, R6, RColorBrewer, Rcpp, recipes, rlang, rpart, rsample, rstudioapi, scales, sfd, shape, slider, sparsevctrs, splines, SQUAREM, stats, stringi, stringr, survival, tailor, tibble, tidyr, tidyselect, timechange, timeDate, tools, tune, tzdb, utf8, utils, vctrs, viridisLite, warp, withr, workflows, workflowsets, yardstick"
"18","cchsflow","bit, bit64, cli, clipr, cpp11, crayon, datawizard, dplyr, forcats, generics, glue, graphics, grDevices, haven, hms, insight, lifecycle, magrittr, methods, pillar, pkgconfig, prettyunits, progress, R6, readr, rlang, sjlabelled, stats, stringi, stringr, tibble, tidyselect, tools, tzdb, utf8, utils, vctrs, vroom, withr"
"19","cmprsk","graphics, grDevices, grid, lattice, Matrix, methods, splines, stats, survival, utils"
"20","survival","graphics, grDevices, grid, lattice, Matrix, methods, splines, stats, utils"
"21","dials","cli, DiceDesign, dplyr, farver, generics, glue, graphics, grDevices, hardhat, labeling, lifecycle, magrittr, methods, pillar, pkgconfig, purrr, R6, RColorBrewer, rlang, scales, sfd, sparsevctrs, stats, tibble, tidyselect, utf8, utils, vctrs, viridisLite, withr"
"22","config","yaml"
"23","epitools",""
"24","flextable","askpass, base64enc, bslib, cachem, cli, cpp11, data.table, digest, evaluate, fastmap, fontawesome, fontBitstreamVera, fontLiberation, fontquiver, fs, gdtools, glue, graphics, grDevices, grid, highr, htmltools, jquerylib, jsonlite, knitr, lifecycle, memoise, methods, mime, officer, openssl, R6, ragg, rappdirs, Rcpp, rlang, rmarkdown, sass, stats, stringi, sys, systemfonts, textshaping, tinytex, tools, utils, uuid, xfun, xml2, yaml, zip"
"25","ftExtra","askpass, base64enc, bslib, cachem, cli, cpp11, data.table, digest, dplyr, evaluate, fastmap, flextable, fontawesome, fontBitstreamVera, fontLiberation, fontquiver, fs, gdtools, generics, glue, graphics, grDevices, grid, highr, htmltools, jquerylib, jsonlite, knitr, lifecycle, magrittr, memoise, methods, mime, officer, openssl, pillar, pkgconfig, purrr, R6, ragg, rappdirs, Rcpp, rlang, rmarkdown, sass, stats, stringi, stringr, sys, systemfonts, textshaping, tibble, tidyr, tidyselect, tinytex, tools, utf8, utils, uuid, vctrs, withr, xfun, xml2, yaml, zip"
"26","ggplot2","cli, farver, glue, graphics, grDevices, grid, gtable, isoband, labeling, lattice, lifecycle, magrittr, MASS, Matrix, methods, mgcv, nlme, pillar, pkgconfig, R6, RColorBrewer, rlang, scales, splines, stats, tibble, utf8, utils, vctrs, viridisLite, withr"
